Date,Commodity,Variety,Min_Price,Max_Price,Modal_Price,District,Market,Arrival_Quantity,Demand,
11-10-2020,Potato,Other,2500,3500,3000,Pune,Pune,59600,0.2,
03-10-2021,Potato,Other,700,1600,1200,Pune,Pune,59800,0.5,
03-04-2021,Potato,Other,700,1400,1100,Pune,Pune,61400,0.56,
09-09-2020,Potato,Other,2500,2900,2700,Pune,Pune,61400,0.23,
8/18/2022,Potato,Other,1700,2200,1950,Pune,Pune,61600,0.32,
11/24/2022,Potato,Other,1200,2100,1650,Pune,Pune,61700,0.37,
5/29/2023,Potato,Other,1100,1900,1500,Pune,Pune,61900,0.41,
3/17/2023,Potato,Other,600,1300,950,Pune,Pune,63500,0.67,
2/21/2021,Potato,Other,800,1300,1050,Pune,Pune,64300,0.61,
3/16/2021,Potato,Other,500,1800,1150,Pune,Pune,64400,0.56,
3/28/2022,Potato,Other,1000,1700,1350,Pune,Pune,65100,0.48,
11-01-2020,Potato,Other,3300,3900,3600,Pune,Pune,65200,0.18,
11/16/2021,Potato,Other,1000,2100,1550,Pune,Pune,66100,0.43,
6/16/2021,Potato,Other,700,1500,1100,Pune,Pune,66400,0.6,
03-10-2023,Potato,Other,700,1400,1050,Pune,Pune,66800,0.64,
11/22/2021,Potato,Other,1000,2000,1500,Pune,Pune,67700,0.45,
02-02-2023,Potato,Other,1000,1600,1300,Pune,Pune,69700,0.54,
07-10-2022,Potato,Other,1800,2200,2000,Pune,Pune,72300,0.36,
01-05-2021,Potato,Other,1200,2000,1700,Pune,Pune,73100,0.43,
1/17/2021,Potato,Other,1000,2000,1600,Pune,Pune,73200,0.46,
1/23/2020,Potato,Other,1600,2300,2000,Pune,Pune,73600,0.37,
3/25/2022,Potato,Other,900,1700,1300,Pune,Pune,73800,0.57,
2/23/2023,Potato,Other,1000,1400,1200,Pune,Pune,74300,0.62,
4/23/2023,Potato,Other,800,1500,1150,Pune,Pune,74600,0.65,
1/27/2021,Potato,Other,800,1800,1300,Pune,Pune,78000,0.6,
4/21/2023,Potato,Other,1000,1600,1300,Pune,Pune,78900,0.61,
1/29/2023,Potato,Other,1200,1700,1450,Pune,Pune,78900,0.54,
07-11-2021,Potato,Other,600,1200,900,Pune,Pune,80100,0.89,
1/16/2022,Potato,Other,800,1500,1150,Pune,Pune,92100,0.8,
11/15/2022,Potato,Other,1700,2300,2000,Pune,Pune,95400,0.48,
6/30/2023,Potato,Local,800,1200,1000,Pune,Pune,35200,0.35,
06-10-2025,Potato,Local,1400,2200,1800,Pune,Pune,36700,0.2,
6/21/2023,Potato,Local,1200,2100,1650,Pune,Pune,37500,0.23,
07-09-2025,Potato,Local,1300,2000,1650,Pune,Pune,39200,0.24,
03-07-2025,Potato,Local,1000,1800,1400,Pune,Pune,39400,0.28,
01-01-2025,Potato,Local,1300,2000,1650,Pune,Pune,41700,0.25,
04-03-2025,Potato,Local,1000,2000,1500,Pune,Pune,43000,0.29,
04-04-2024,Potato,Local,1800,2600,2200,Pune,Pune,43600,0.2,
7/24/2023,Potato,Local,1200,2100,1650,Pune,Pune,44100,0.27,
12-06-2023,Potato,Local,1000,1800,1400,Pune,Pune,45100,0.32,
06-11-2024,Potato,Local,2000,2700,2350,Pune,Pune,46800,0.2,
1/16/2025,Potato,Local,1600,2100,1850,Pune,Pune,50100,0.27,
3/20/2025,Potato,Local,1000,2100,1550,Pune,Pune,50100,0.32,
11-12-2023,Potato,Local,1000,2000,1500,Pune,Pune,51800,0.35,
7/14/2023,Potato,Local,1000,2000,1500,Pune,Pune,52900,0.35,
2/28/2025,Potato,Local,1000,2000,1500,Pune,Pune,53600,0.36,
02-12-2024,Potato,Local,1600,2000,1800,Pune,Pune,53700,0.3,
8/23/2024,Potato,Local,2500,3000,2750,Pune,Pune,53900,0.2,
10/18/2024,Potato,Local,1800,3600,2700,Pune,Pune,54100,0.2,
2/18/2025,Potato,Local,1200,1800,1500,Pune,Pune,55200,0.37,
06-12-2023,Potato,Local,1000,2000,1500,Pune,Pune,56000,0.37,
09-11-2023,Potato,Local,1000,1800,1400,Pune,Pune,58600,0.42,
7/15/2025,Potato,Local,1000,1900,1450,Pune,Pune,61100,0.42,
10-10-2024,Potato,Local,2000,3500,2750,Pune,Pune,61300,0.22,
7/31/2025,Potato,Local,1400,1800,1600,Pune,Pune,61800,0.39,
